"Quiz 01",3,6,0.50,0.02,0.01
"Quiz 02",9,13,0.69,0.02,0.01
"Quiz 03",10,13,0.77,0.02,0.01
"Quiz 04",9,11,0.82,0.02,0.01
"Quiz 05",4,11,0.36,0.02,0.01
"Quiz 06",9,14,0.64,0.02,0.01
"Quiz 07",14,14,1.00,0.02,0.02
"Quiz 08",35,30,1.17,0.02,0.02
"Quiz 09",0,10,0.00,0.02,0.00
"Quiz 10",9,14,0.64,0.02,0.01
"Quiz 11",7,7,1.00,0.02,0.02
"Quiz 12",25.50,31,0.82,0.02,0.01
"Quiz 13",11,6,1.83,0.02,0.03
"Quiz 14",30,10,3.00,0.02,0.05
"Quiz 15",2.50,5,0.50,0.02,0.01
"Quiz 16",8,16,0.50,0.02,0.01
"Quiz 17",15,18,0.83,0.02,0.01
"Quiz 18",5,8,0.62,0.02,0.01
"Mysteriousness",94,100,0.94,0.15,0.14
"Inquisitiveness",87,100,0.87,0.15,0.13
"Chapter 1 Exercises",42,48,0.88,0.06,0.05
"Chapter 2 Exercises",0,95,0.00,0.06,0.00
"Chapter 3 Exercises",0,26,0.00,0.06,0.00
"Chapter 4 Exercises",0,100,0.00,0.06,0.00
"Chapter 5 Exercises",86,100,0.86,0.06,0.05
"Not Yet Reached",0,0,1,0.10,0.10

"Weighted Percentage",,,,,73.74

"Letter Grade",,,,,C
