0021	1:0021:!	
0022	1:0022:"
0023	1:0023:#
0024	1:0024:$
0025	1:0025:%
0026	1:0026:&	
0027	1:0027:'	
0028	1:0028:(
0029	1:0029:)	
002A	1:002A:*
002B	1:002B:+
002C	1:002C:,
002D	1:002D:-
002E    1:002E:.
002F	1:002F:/
0030	1:0030:0
0031	1:0031:1
0032	1:0032:2
0033	1:0033:3
0034	1:0034:4
0035	1:0035:5
0036	1:0036:6	
0037	1:0037:7
0038	1:0038:8	
0039	1:0039:9
003A	1:003A::
003B	1:003B:;
003C	1:003C:<
003D	1:003D:=
003E	1:003E:>	
003F	1:003F:?	
0040	1:0040:@
0041	1:0041:A
0042	1:0042:B
0043	1:0043:C
0044	1:0044:D
0045	1:0045:E
0046	1:0046:F	
0047	1:0047:G
0048	1:0048:H
0049    1:217C:?        1:FF29:I        1:0406:?        1:FF4C:l        1:2160:\
?       1:01C0:|        1:04C0:?        1:0399:?        1:0049\
:I
004A	1:004A:J
004B	1:004B:K
004C	1:004C:L
004D	1:004D:M
004E	1:004E:N
004F	1:004F:O
0050	1:0050:P
0051	1:0051:Q
0052	1:0052:R
0053	1:0053:S
0054	1:0054:T
0055	1:0055:U	
0056	1:0056:V
0057	1:0057:W	
0058	1:0058:X
0059	1:0059:Y
005A	1:005A:Z
005B	1:005B:[
005C	1:005C:\	
005D	1:005D:]	
005E	1:005E:^	
005F	1:005F:_
0060	1:0060:`
0061	1:0061:a
0062	1:0062:b
0063	1:0063:c	
0064	1:0064:d
0065	1:0065:e	1:0435:?	1:FF45:e	
0066	1:0066:f	
0067	1:0067:g
0068	1:0068:h	
0069	1:0069:i
006A	1:006A:j
006B	1:006B:k	
006C    1:006C:l
006D	1:006D:m	
006E	1:006E:n	
006F	1:006F:o
0070	1:0070:p
0071	1:0071:q
0072	1:0072:r	
0073s	1:0073:s	
0074	1:0074:t
0075	1:0075:u	
0076	1:0076:v
0077	1:0077:w	
0078	1:0078:x
0079	1:0079:y	
007A	1:007A:z
007B	1:007B:{	
007C|	1:007C:|	
007D	1:007D:}
007E	1:007E:~
